,Name,Team,Batting_Hand,Bowling_Type,Role,Matches,Innings,Not Outs,Runs,Highest,Average,BF,SR,100,200,50,4,6,Matches,Innings,Balls,Runs,Wickets,BBI,BBM,Economy,Average,SR,5W,10W
91,Jaydev Unadkat,Rajasthan Royals,Right,Left-arm fast,BOWLER,80,18,11,64,26,9.14,67,95.52,0,0,0,6,1,80,79,1644,2420,81,5/25,5/25,8.83,29.88,20.3,2,0
92,Kartik Tyagi,Rajasthan Royals,Right,Right-arm fast,BOWLER,10,3,2,4,2,4.0,6,66.67,0,0,0,0,0,10,10,229,367,9,2/36,2/36,9.62,40.78,25.44,0,0
93,Andrew Tye,Rajasthan Royals,Right,Right-arm fast,BOWLER,27,13,4,91,25,10.11,76,119.74,0,0,0,6,5,27,27,618,872,40,5/17,5/17,8.47,21.8,15.45,1,0
94,Mayank Markande,Rajasthan Royals,Right,Right-arm legbreak,BOWLER,17,8,5,27,7,9.0,29,93.1,0,0,0,3,0,17,17,300,427,16,4/23,4/23,8.54,26.69,18.75,0,0
95,Jofra Archer,Rajasthan Royals,Right,Right-arm fast,BOWLER,35,23,10,195,27,15.0,124,157.26,0,0,0,11,14,35,35,825,981,46,3/15,3/15,7.13,21.33,17.93,0,0
96,Mustafizur Rahman,Rajasthan Royals,Left,Left-arm fast,BOWLER,24,2,1,1,1,1.0,3,33.33,0,0,0,0,0,24,24,547,685,24,3/16,3/16,7.51,28.54,22.79,0,0
97,Chetan Sakariya,Rajasthan Royals,Left,Left-arm fast,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,KC Cariappa,Rajasthan Royals,Right,Right-arm legbreak,BOWLER,11,5,2,24,12,8.0,21,114.29,0,0,0,0,2,11,11,216,348,8,2/16,2/16,9.67,43.5,27.0,0,0
99,Kuldip Yadav,Rajasthan Royals,Right,,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Akash Singh,Rajasthan Royals,Right,Left-arm fast,BOWLER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Yuzvendra Chahal,Royal Challengers Bangalore,Right,Right-arm legbreak,BOWLER,99,16,10,22,4,3.67,51,43.14,0,0,0,0,0,99,98,2130,2723,121,4/25,4/25,7.67,22.5,17.6,0,0
102,Navdeep Saini,Royal Challengers Bangalore,Right,Right-arm fast,BOWLER,26,5,3,29,12,14.5,31,93.55,0,0,0,3,0,26,26,562,776,17,2/24,2/24,8.28,45.65,33.06,0,0
103,Mohammed Siraj,Royal Challengers Bangalore,Right,Right-arm fast,BOWLER,35,11,7,46,14,11.5,50,92.0,0,0,0,4,1,35,35,716,1084,39,4/32,4/32,9.08,27.79,18.36,0,0
104,Kane Richardson,Royal Challengers Bangalore,Right,Right-arm fast,BOWLER,14,4,1,36,26,12.0,39,92.31,0,0,0,2,1,14,14,317,443,18,3/13,3/13,8.38,24.61,17.61,0,0
